full_text,text_clean,class,tokens,lemma
@sobat_anies 2. Keliru,keliru,1,['keliru'],keliru
@dccomm_gov Padat,padat,0,['padat'],padat
"@islah_bahrawi @kangdede78 Pakar radikal radikul kok bawakata agama sih ðŸ˜‚ Kalo pendukung anies bawa""agama gak dibolehin ama lu mbak islah?""",pakar radikal radikul bawakata agama dukung bawa agama dibolehin sama kamu mbak islah,1,"['pakar', 'radikal', 'radikul', 'bawakata', 'agama', 'dukung', 'bawa', 'agama', 'dibolehin', 'sama', 'kamu', 'mbak', 'islah']",pakar radikal radikul bawakata agama dukung bawa agama dibolehin sama kamu mbak islah
"@lengkongtweets @Avolanza Emg otak bengkok lu ya, panas juga gue, asal lu tau akun tiktok gue udah 11k follower ke take down karen gue posting ttg perubahan anies baswedan dan penderitaa israhell.. jgn asal bacot lu.. stiap tulisan ada pertanggung jawaban di akhirat, paham agama islm gak lu.. marah kan ak",memang otak bengkok kamu panas asal kamu tahu akun tiktok ribu follower take down karen posting ubah baswedan penderitaa israhell jangan asal banyak bicara kamu tulis tanggung jawab akhirat paham agama islm kamu marah,1,"['memang', 'otak', 'bengkok', 'kamu', 'panas', 'asal', 'kamu', 'tahu', 'akun', 'tiktok', 'ribu', 'follower', 'take', 'down', 'karen', 'posting', 'ubah', 'baswedan', 'penderitaa', 'israhell', 'jangan', 'asal', 'banyak', 'bicara', 'kamu', 'tulis', 'tanggung', 'jawab', 'akhirat', 'paham', 'agama', 'islm', 'kamu', 'marah']",memang otak bengkok kamu panas asal kamu tahu akun tiktok ribu follower take down karen posting ubah baswedan penderitaa israhell jangan asal banyak bicara kamu tulis tanggung jawab akhirat paham agama islm kamu marah
"Puji Anies Baswedan sebagai Pemimpin Masa Depan, Tokoh Muhammadiyah Optimistis Menang di Kandang Banteng https://t.co/UW0GqSISIB https://t.co/UW0GqSISIB",puji baswedan pimpin masa tokoh muhammadiyah optimistis menang kandang banteng,2,"['puji', 'baswedan', 'pimpin', 'masa', 'tokoh', 'muhammadiyah', 'optimistis', 'menang', 'kandang', 'banteng']",puji baswedan pimpin masa tokoh muhammadiyah optimistis menang kandang banteng
"@OposisiCerdas Utk itulah Indonesia butuh perubahan, ganti presiden dgn sosok yg tdk terafiliasi dgn rezim sekarang.  Solusi utk memperbaiki carut marut bangsa ini adalah pilih ANIES jadi presiden pada pilpres 2024 nanti.",indonesia butuh ubah ganti presiden sosok tidak afiliasi rezim solusi baik carut marut bangsa pilih jadi presiden pilpres,2,"['indonesia', 'butuh', 'ubah', 'ganti', 'presiden', 'sosok', 'tidak', 'afiliasi', 'rezim', 'solusi', 'baik', 'carut', 'marut', 'bangsa', 'pilih', 'jadi', 'presiden', 'pilpres']",indonesia butuh ubah ganti presiden sosok afiliasi rezim solusi baik carut marut bangsa pilih presiden pilpres
mimpi pak aniesðŸ¤£,mimpi,1,['mimpi'],mimpi
"@andre_rosiade @saifulmujani Kok goblok amat sih!! Lihat kenyataan, sejak dari Bukittingi sampai Aceh sana berjubel rakyat menyambut Anies, ini malah masih percaya survei gadungan",bodoh lihat nyata bukittingi aceh jubel rakyat sambut percaya survei gadungan,1,"['bodoh', 'lihat', 'nyata', 'bukittingi', 'aceh', 'jubel', 'rakyat', 'sambut', 'percaya', 'survei', 'gadungan']",bodoh lihat nyata bukittingi aceh jubel rakyat sambut percaya survei gadungan
@detikcom Tipikal Anies Baswedan banget.... Suka nebeng....,tipikal baswedan banget suka nebeng,1,"['tipikal', 'baswedan', 'banget', 'suka', 'nebeng']",tipikal baswedan banget suka nebeng
Sunggulah harum si daun pandan. Daun dibuat bikin ketupat . Inilah dia pak Anies Baswedan. Presiden kita di 2024. ðŸ‘ðŸ˜‚ https://t.co/MaxR82NxHv,sunggulah harum daun pandan daun buat buat ketupat baswedan presiden,2,"['sunggulah', 'harum', 'daun', 'pandan', 'daun', 'buat', 'buat', 'ketupat', 'baswedan', 'presiden']",sunggulah harum daun pandan daun buat buat ketupat baswedan presiden
"@Tita83079013 Begitu indahnya Indonesia ini. Sehingg Manusia bejat dan minoritas seperti si @Tita83079013 ini seenak jidatnya memprovokasi ummat Islam yang sedang berduka karena saudaranya di Palestina dibantai. Kita bandingkan kalau dia yang mayoritas seperti di Myanmar, China, Amerika.",indah indonesia sehingg manusia bejat minoritas enak jidat provokasi ummat islam duka saudara palestina bantai banding mayoritas myanmar china amerika,1,"['indah', 'indonesia', 'sehingg', 'manusia', 'bejat', 'minoritas', 'enak', 'jidat', 'provokasi', 'ummat', 'islam', 'duka', 'saudara', 'palestina', 'bantai', 'banding', 'mayoritas', 'myanmar', 'china', 'amerika']",indah indonesia sehingg manusia bejat minoritas enak jidat provokasi ummat islam duka saudara palestina bantai banding mayoritas myanmar china amerika
InsyaAllah Anies,insyaallah,2,['insyaallah'],insyaallah
"@Geyelicius @fotodakwah Jilat terus..  Hizbullah yg Syiah saja lebih berguna drpd rezim Wahabi yg kalian jilat  Mrk mmg Syiah, terlepas dr taqiyah mrk, setidaknya mereka melepaskan roket dan rudal ke Israel  Kalian menangkis roket ke Israel",jilat terus hizbullah syiah guna rezim wahabi jilat memang syiah lepas taqiyah lepas roket rudal israel tangkis roket israel,1,"['jilat', 'terus', 'hizbullah', 'syiah', 'guna', 'rezim', 'wahabi', 'jilat', 'memang', 'syiah', 'lepas', 'taqiyah', 'lepas', 'roket', 'rudal', 'israel', 'tangkis', 'roket', 'israel']",jilat terus hizbullah syiah rezim wahabi jilat memang syiah lepas taqiyah lepas roket rudal israel tangkis roket israel
"@ganjarpranowo Padahal bukannya partai paling banyak kader nye di tangkap adalah PDI P, Insya Allah Anies RI.1",partai kader tangkap insya allah,2,"['partai', 'kader', 'tangkap', 'insya', 'allah']",partai kader tangkap insya allah
Trick pak jokowi sudah bisa di baca  Dia mau si ganjar pranowo menang  Tapi dia ga mau anies ada harapan  Jadi dia majukan Anak nya dan prabowo,trick baca menang harap jadi maju anak,1,"['trick', 'baca', 'menang', 'harap', 'jadi', 'maju', 'anak']",trick baca menang harap maju anak
@NovalAssegaf mudah mudahan pa Anies terpilih menjadi pemimpin Indonesia agar bisa bersama dengan Erdogan ðŸ¤²,mudah mudah pilih jadi pimpin indonesia erdogan,2,"['mudah', 'mudah', 'pilih', 'jadi', 'pimpin', 'indonesia', 'erdogan']",mudah mudah pilih pimpin indonesia erdogan
"@tvOneNews Dulu berantakan krna di pimpin si merah, skrng mau di pimpin si merah lagiâ€¦ogah ah, Insya Allah Anies RI.1",beranta pimpin merah sekarang pimpin merah mau insya allah,2,"['beranta', 'pimpin', 'merah', 'sekarang', 'pimpin', 'merah', 'mau', 'insya', 'allah']",beranta pimpin merah sekarang pimpin merah mau insya allah
Pasca putusan MK tema keberlanjutan akan diusung oleh Prabowo kubu Ganjar mulai pudar dengan tema ini  tema yg diciptakan kedepan nanti adalah yg pro politik dinasti (Prabowo) melawan yg anti dinasti (Ganjar Anies)  itu akan otomatis terbentuk di masyarakat,pasca putus tema lanjut usung kubu mulai pudar tema tema cipta depan profesional politik dinasti lawan anti dinasti otomatis bentuk masyarakat,0,"['pasca', 'putus', 'tema', 'lanjut', 'usung', 'kubu', 'mulai', 'pudar', 'tema', 'tema', 'cipta', 'depan', 'profesional', 'politik', 'dinasti', 'lawan', 'anti', 'dinasti', 'otomatis', 'bentuk', 'masyarakat']",pasca putus tema lanjut usung kubu mulai pudar tema tema cipta depan profesional politik dinasti lawan anti dinasti otomatis bentuk masyarakat
@detikcom Ayo demo setiap hari ..biar suara kita di dengar bila mana perlu perkantoran tutup negeri atau swasta...ayo pak anies,demo hari suara dengar perlu kantor tutup negeri swasta,1,"['demo', 'hari', 'suara', 'dengar', 'perlu', 'kantor', 'tutup', 'negeri', 'swasta']",demo hari suara dengar perlu kantor tutup negeri swasta
"@liputan6dotcom Pura2 aja kalian itu, sejati kalian itu sama, mau Ganjar mau Prabowo sebenarnya satu misi satu bossâ€¦Insya Allah Anies RI.1 Aamiinn",pura sejati satu misi satu insya allah aamiinn,2,"['pura', 'sejati', 'satu', 'misi', 'satu', 'insya', 'allah', 'aamiinn']",pura sejati satu misi satu insya allah aamiinn
@RagilSemar @JokoLipService @Gamal_Albinsaid Yuk bisa yukâ€¦jangan sampe DKI setelah era pak Anies mengalami kemunduran kembali sepeti saat ini dipegang gubernur give away,alami mundur sepet pegang gubernur give away,1,"['alami', 'mundur', 'sepet', 'pegang', 'gubernur', 'give', 'away']",alami mundur sepet pegang gubernur give away
@yunartowijaya Anies sama Ganjar masuk putaran ke 2 kayanya. Pemilih Prabowo terpecah 2 ada yang ke Anies ada yang ke Ganjar,masuk putar kayak pilih pecah,0,"['masuk', 'putar', 'kayak', 'pilih', 'pecah']",masuk putar kayak pilih pecah
